,Time (ns),Energy(MeV),Detector ID,IsNeutron
0,2370051.987155253996,4.1251169999999994786,0.0,1.0
1,5532457.2431426286003,1.9574300000000000033,1.0,1.0
2,6050417.072386017961,0.62267200000000000326,3.0,0.0
3,8178027.2225649187912,4.152340000000000586,3.0,1.0
4,8921557.013498743888,1.319124999999999881,0.0,0.0
5,12475681.68595397306,2.4357700000000002127,1.0,0.0
6,24711532.4443913445,1.4413629999999999498,2.0,0.0
7,34757963.57282103649,1.629569999999999963,0.0,0.0
8,48968238.518489207167,1.4761800000000000477,3.0,0.0
9,48968241.30828821009,2.0851549999999998697,3.0,1.0
10,53903701.731483934233,1.734416092999999659,0.0,1.0
11,54165401.716674874133,0.7751428000000000207,0.0,0.0
12,54165401.743882873874,0.76435819999999998764,1.0,0.0
13,55022276.32606032648,2.2781546700000001593,0.0,1.0
14,59200922.089777646695,0.5697732599999999481,1.0,0.0
15,59308401.459997425743,0.42198219999999997398,0.0,0.0
16,59308403.223085427726,3.0146901999999999866,1.0,1.0
17,64585479.257420752576,4.432746825999999807,3.0,1.0
18,70976205.344482193315,1.895255970000000012,0.0,1.0
19,71081695.47615583728,0.7940620000000000456,1.0,0.0
20,75134545.35395078237,0.47173100000000001142,1.0,0.0
21,97245025.46364616196,0.45606299999999999617,0.0,0.0
22,105051664.57515115186,1.4058800000000000185,1.0,0.0
23,105971819.82955429513,0.5893768899999999311,1.0,0.0
24,108196112.658740309365,6.110750000000000348,3.0,1.0
25,116358249.9493686917,2.5748510399999999798,2.0,1.0
26,132873784.84720246963,2.4261500000000002508,2.0,0.0
27,135040262.38871574828,2.2582748099999996327,0.0,1.0
28,139457575.69669126053,0.5162900000000000267,1.0,0.0
29,141580507.63631549463,1.85010382499999948,0.0,1.0
30,150770565.11589675969,1.0764700000000000379,0.0,0.0
31,154860869.91814421165,3.6997027000000000108,1.0,1.0
32,156924301.1098147289,4.4420679999999999055,0.0,1.0
33,169769316.43982962062,0.85144099999999989237,1.0,0.0
34,171883128.06939023969,0.6857062999999999908,1.0,0.0
35,178214626.46881927605,2.0476375999999998356,2.0,1.0
37,192650045.43242195134,4.47294000000000036,1.0,1.0
36,192650046.99077192818,1.8852832999999999952,0.0,1.0
38,193787865.93889549273,2.4736499999999996824,1.0,1.0
39,194164033.77913390993,0.7519280000000000408,0.0,0.0
40,194164035.93869391298,1.8129599999999999049,1.0,1.0
41,199498991.4810618159,0.5257091999999999876,0.0,0.0
42,211315404.62237974332,1.2360186999999998037,2.0,0.0
43,211315406.52505875766,1.8862099999999999422,0.0,1.0
44,215512425.33571837723,0.43734800000000001452,1.0,0.0
45,216356768.10064422005,0.441787599999999947,0.0,0.0
46,216487947.20622374643,1.8424300000000000122,1.0,0.0
47,222128463.81134063179,2.8127699999999999925,1.0,0.0
48,238905866.56435583434,1.7067300000000000804,3.0,1.0
49,242114743.91464665734,0.5641599999999999948,1.0,0.0
50,245552878.16164145243,0.40511735999999998192,1.0,0.0
51,253531302.62564044229,0.4563300000000000134,1.0,0.0
52,256815998.32064921918,0.98881399999999997075,1.0,0.0
53,266843729.75283682239,3.3063799999999998747,1.0,0.0
54,273139232.32168080268,1.7602999999999999758,2.0,0.0
55,285535182.46286252458,0.6780930000000000568,1.0,0.0
56,293489909.70775157283,0.5766290000000000582,1.0,0.0
57,293797721.58934036596,1.6140159999999998952,2.0,1.0
58,317329018.2571085749,1.2984700000000000131,0.0,0.0
59,327261108.80759917697,1.6480049999999999422,0.0,0.0
60,332779511.49901857652,2.7294399999999998663,2.0,0.0
61,339374951.36737988456,0.6903259999999999952,3.0,0.0
62,343614446.2295657731,2.6054253000000002771,1.0,1.0
63,347912488.8520851999,1.7221622999999999237,3.0,1.0
64,349492343.90810529626,0.9832020000000000204,0.0,0.0
65,350303397.27698062148,0.4142159999999999731,2.0,0.0
66,357835748.86668234604,1.0880579999999999696,2.0,0.0
67,357835750.93943437163,1.8024000000000000021,1.0,1.0
68,372454576.9196088707,1.9432739300000001492,1.0,1.0
69,372462565.82589315486,2.5819169999999997955,0.0,1.0
70,383458760.85262292632,2.311217000000000077,3.0,1.0
71,385153562.59006022775,0.42904621999999997817,0.0,0.0
72,389274059.39222264886,0.45465600000000000458,0.0,0.0
73,389274059.4410946664,0.6619009999999999616,3.0,0.0
74,404947763.8690179293,0.5410220000000000029,2.0,0.0
75,411974090.47215344248,0.5419019999999999948,0.0,0.0
76,414758504.46831308282,0.9875599999999999934,1.0,0.0
77,414758506.4781110775,1.8478499999999999925,1.0,1.0
78,423252869.74987785803,0.49714700000000000557,0.0,0.0
79,424852511.6618763753,0.6993540000000000312,3.0,0.0
80,435678520.38810012117,0.61519499999999993634,0.0,0.0
81,474820781.96479365896,0.76539599999999996527,1.0,0.0
82,481210285.00787571547,0.625895499999999938,1.0,0.0
83,482425997.96203278206,2.1674699999999997857,0.0,0.0
84,492636720.865774258,2.1217800000000002214,1.0,1.0
85,499011712.7194751978,1.1057799999999999851,0.0,0.0
86,499011713.83347320277,7.1814517999999987197,0.0,1.0
87,501792406.18282905384,0.60805774099999998494,0.0,0.0
88,504772993.6091631675,4.1235653599999997354,3.0,1.0
89,509263359.54798762628,4.619697999999999638,1.0,1.0
90,512532676.5402851148,1.7139979999999999105,1.0,1.0
91,518306684.9149069455,1.1469688000000000105,0.0,0.0
92,529918813.09725341608,0.7398159999999999181,1.0,0.0
93,536550471.43417067267,1.1810159999999998437,2.0,0.0
94,538157993.774913912,2.5994839999999999058,0.0,0.0
95,548226499.5590705459,1.1979968000000000838,1.0,0.0
96,570279085.97273291316,0.5908130000000000326,3.0,0.0
97,570279087.37578292267,3.0749769999999996273,1.0,1.0
98,572159315.2370613167,0.4608320000000000194,1.0,0.0
99,574525361.50924671255,1.0591649000000000758,0.0,0.0
100,582705210.8878206793,6.0562206999999999013,1.0,1.0
101,582705211.68784072954,2.2412616999999994682,2.0,1.0
102,589621264.0307877395,0.43017400000000000082,2.0,0.0
103,592104565.4033549877,1.1191400000000000237,2.0,0.0
104,597264019.7803108508,3.4943900000000001071,1.0,1.0
105,597971582.0753790378,1.6613999999999999879,3.0,0.0
106,624654641.19071822945,2.1004046450000002366,3.0,1.0
107,641354684.7122811867,0.6447051999999999783,1.0,0.0
108,642111711.9412720342,0.92692900000000000293,1.0,0.0
109,643058144.5222484094,2.0515510930000000478,0.0,1.0
110,650816823.28637857625,4.32984400000000047,0.0,1.0
111,655448162.608704421,1.870749999999999913,0.0,1.0
112,657728943.09449614346,0.61710500000000001464,2.0,0.0
113,666453181.85722868255,2.4965000000000001634,1.0,1.0
114,674066879.18359708966,0.68310499999999996223,2.0,0.0
115,675616988.09092740616,1.2742215000000001179,0.0,0.0
116,685739130.92385074816,2.83596629999999994,0.0,0.0
117,693603841.86975032603,0.97329299999999996373,3.0,0.0
118,699391107.6227118384,1.2731101000000002443,0.0,0.0
119,708401501.8674986175,0.41344610000000003858,0.0,0.0
120,714981207.4726556999,0.63085999999999997634,3.0,0.0
121,715550377.10049451684,3.2985910000000000508,0.0,1.0
122,719299828.9818208768,0.43275940000000001628,0.0,0.0
123,725288286.5536662837,0.5632779999999999454,1.0,0.0
124,725288288.46210224857,2.8991899999999999338,0.0,1.0
125,736310636.6107482481,0.48094199999999998063,1.0,0.0
126,758142731.94276571297,4.633198908000000671,0.0,1.0
127,765485783.5007593536,1.9623588999999999061,1.0,1.0
128,765825944.6699037243,0.85381399999999996187,0.0,0.0
129,770782498.54778801976,3.2167915800000002058,0.0,1.0
130,771084756.501422719,0.70033042000000000904,1.0,0.0
131,774099381.16294196853,1.2058501999999999832,0.0,0.0
132,774099381.2004939301,1.0844432999999999989,2.0,0.0
133,778508543.7476924053,4.307249999999999801,0.0,1.0
134,782688582.4153424487,0.55351700000000003676,0.0,0.0
135,782688583.8768544712,3.7272430590000005246,0.0,1.0
136,783302901.1338459302,4.089451400000000625,3.0,1.0
137,794689628.5035587315,0.5286912000000000278,0.0,0.0
138,803158270.7588315051,0.77948499999999998344,1.0,0.0
139,816454615.0870171104,2.1631954999999996048,1.0,0.0
140,822870792.855834976,1.5487709999999998978,0.0,0.0
141,822870792.8784440018,4.0884900000000001796,1.0,0.0
142,826858208.5139672966,0.7238129000000000923,1.0,0.0
143,826858208.5497082623,1.1891133000000000397,2.0,0.0
144,830773659.1372626434,0.5139949999999999797,3.0,0.0
145,837037668.2760478637,0.52998834999999999695,0.0,0.0
146,848546380.41403507296,1.6084591630000000251,1.0,1.0
147,858368572.04286742816,1.5036400000000000876,0.0,0.0
148,858368572.0598435154,0.7416190000000000282,3.0,0.0
149,862735830.8119861263,3.4805692879999998723,1.0,1.0
150,864853664.5169122572,2.4302999999999999048,1.0,1.0
151,866295735.1034940023,1.937659999999999938,3.0,0.0
152,871564525.1107827507,0.5170500000000000096,0.0,0.0
153,881985095.17246237444,0.50718900000000000095,2.0,0.0
154,886563558.8167588565,2.6557579730000000495,0.0,1.0
155,886840122.2149189245,2.908469970000000071,1.0,1.0
156,891905166.1945637255,4.923110000000000319,0.0,1.0
157,891905168.03600372595,1.6254615999999999509,1.0,1.0
158,914624987.81450074504,0.6341329999999999467,2.0,0.0
159,923650490.3209082906,0.7739513500000001489,0.0,0.0
160,926801634.7463229332,1.040170000000000039,1.0,0.0
161,932988195.9897646793,2.0852691000000000976,0.0,1.0
162,953077743.35248929274,2.613837339999999898,1.0,1.0
163,956566422.7035221012,3.2660200000000001452,0.0,1.0
164,962184846.96616435325,4.3297166099999992994,1.0,1.0
165,965877201.9161219191,1.0289288000000000878,0.0,0.0
166,974685680.69969085953,2.7682584300000003807,0.0,1.0
167,978980783.9352674401,1.3699099999999999611,0.0,0.0
168,982773152.484637591,0.4637209999999999943,0.0,0.0
169,982773154.66806058894,2.0096123419999996074,1.0,1.0
170,984144520.23179210816,7.652657599999999505,3.0,1.0
171,984987557.19535280304,1.8773100000000000342,0.0,1.0
172,994051102.278930121,0.5627929999999999877,3.0,0.0
173,994719774.8227899483,2.4961009999999999032,3.0,1.0
174,1005678270.2916795547,3.588820000000000121,0.0,1.0
175,1007357200.58221689396,1.6853299999999999947,0.0,1.0
176,1018817585.7612975506,3.8238000000000003098,1.0,1.0
177,1019031203.2540365106,1.2022299999999999098,0.0,0.0
178,1025910833.4132769347,0.97478699999999995907,2.0,0.0
179,1028659258.25142223714,2.0048610000000004483,1.0,1.0
180,1038164179.7041596398,0.6731099999999999861,1.0,0.0
181,1044741991.61141934054,0.4195080499999999657,0.0,0.0
182,1048412514.70863427996,0.9430229999999999446,1.0,0.0
183,1059669717.0132147736,3.1754410999999995724,0.0,1.0
184,1066009831.8465287548,1.9516000000000000014,0.0,1.0
185,1080736615.6450775029,0.71330499999999996685,0.0,0.0
186,1083278073.6135256827,2.4166710000000000136,1.0,0.0
187,1083327381.3441068878,1.7688699999999999424,0.0,1.0
188,1094926269.4589123601,0.48504999999999998117,0.0,0.0
189,1109390606.9746117815,3.85959899999999978,0.0,1.0
190,1110129552.8288896985,2.8407020000000002824,2.0,1.0
191,1127187288.3858240488,0.4489719999999999822,2.0,0.0
192,1127187290.0539650075,2.1640500000000000291,0.0,1.0
193,1167205284.4994944554,0.8378510000000000124,1.0,0.0
194,1187760622.2021934723,0.79149599999999997735,1.0,0.0
195,1196662106.2529090303,1.823337399999999997,1.0,0.0
196,1213791347.1279020427,0.7904440000000000355,2.0,0.0
197,1214126603.381471492,0.7683910000000000462,1.0,0.0
198,1232313240.495680251,0.9697719999999999674,0.0,0.0
199,1235131864.3839575007,1.7892241999999998203,0.0,1.0
200,1253445181.6368195054,0.4766960000000000086,2.0,0.0
202,1254152915.3887021053,3.1365376000000000367,1.0,1.0
201,1254152915.6623121288,2.3469942999999999778,0.0,1.0
203,1257928736.4893971812,1.2432651999999999592,1.0,0.0
204,1260690764.2011202509,0.8254289999999999683,1.0,0.0
205,1267883095.2127138065,1.0563499999999999002,0.0,0.0
206,1294314263.3076900605,0.51298960000000004555,1.0,0.0
207,1294314265.564421973,1.6104600000000000026,2.0,1.0
208,1295262292.7582653211,2.5163521900000000997,0.0,1.0
209,1295444970.4326391757,1.0286283000000000509,0.0,0.0
210,1306600695.1532793678,1.9978599999999999692,0.0,1.0
211,1307851678.1338325181,0.44770999999999999686,0.0,0.0
212,1313932253.4015451805,5.5563690000000010016,1.0,1.0
213,1314899353.8104414291,0.48930812999999995228,1.0,0.0
214,1320012988.1249933472,7.6797899999999996723,1.0,1.0
215,1321997228.4344621017,1.7880000000000000338,3.0,0.0
216,1342410365.5232484388,0.74790000000000000924,1.0,0.0
217,1345337891.4725169224,0.47927510000000000945,1.0,0.0
218,1349375815.100212872,0.63933350999999993824,1.0,0.0
219,1349821202.97928887,1.6569032000000001315,0.0,1.0
220,1365737654.7808932621,0.409463699999999986,2.0,0.0
221,1381974069.4069244658,4.995406970000000335,2.0,1.0
222,1397696303.4827387666,0.8887389999999999457,3.0,0.0
223,1402641203.1158135285,0.43629099999999998438,2.0,0.0
224,1415720937.0055581221,0.59947799999999995535,0.0,0.0
225,1415720937.0410399619,0.8596880000000000077,3.0,0.0
226,1433489625.851509075,2.6390799999999998704,1.0,1.0
227,1451922500.2813216374,2.8702600000000000335,2.0,1.0
228,1467548910.3418983828,2.1025726000000002358,0.0,1.0
229,1469325683.0917138522,0.6236435000000000173,0.0,0.0
230,1470138627.0990133287,0.49675400000000002887,0.0,0.0
231,1470138627.1307574916,1.6749800000000001354,2.0,0.0
232,1486242850.437662577,2.5449124800000006985,1.0,1.0
233,1488496628.6726388773,4.4561351000000000155,0.0,1.0
234,1489602797.9829780108,0.56741760000000007746,0.0,0.0
235,1489602798.010010165,0.41134499999999996067,1.0,0.0
236,1497533739.6859154104,2.1114600000000001145,1.0,1.0
237,1505608494.4061665088,0.69076870000000001326,0.0,0.0
238,1509676960.3912858493,5.2400455000000008,0.0,1.0
239,1520070752.7624335302,1.1878299999999999415,0.0,0.0
240,1520070752.7923074114,1.2267457999999999974,1.0,0.0
241,1522460798.8836953432,3.4573689999999999145,0.0,1.0
242,1523653283.140131931,1.85752000000000006,2.0,1.0
243,1533873589.2457597832,1.1862399999999999611,3.0,0.0
244,1537756628.2048900082,5.949449999999999683,1.0,1.0
245,1550522214.9580644153,0.98324599999999995337,3.0,0.0
246,1555317506.0226209769,2.1875970000000002358,3.0,0.0
247,1560361450.8463921063,1.3859399999999999498,1.0,0.0
248,1569487242.7324626507,4.1860835819999993035,1.0,1.0
249,1572200628.9367591592,1.0891699999999999715,2.0,0.0
250,1580564312.2158417046,0.814684599999999981,1.0,0.0
251,1599527516.4213924591,2.2255099999999998772,1.0,1.0
252,1600192519.1696699802,0.5951530000000000431,0.0,0.0
253,1613183193.3372038357,1.825949999999999962,1.0,1.0
254,1627917498.026110188,3.1338140860000001098,0.0,1.0
255,1639051710.7765771864,0.4405881999999999854,1.0,0.0
256,1644892108.8703614135,0.7183358800000000377,0.0,0.0
257,1652810996.7696000827,2.363592999999999833,2.0,1.0
258,1652846510.086923848,0.4499460000000000126,1.0,0.0
259,1655825770.9196737561,1.3208024999999998794,1.0,0.0
260,1676658353.3122985106,0.46226800000000001223,3.0,0.0
261,1682791231.0337946877,0.41849619999999998488,0.0,0.0
262,1686499681.842918985,2.0437500000000001776,0.0,0.0
263,1686499684.3870858622,1.903862999999999861,2.0,1.0
264,1686827256.239574746,3.6039368980000001663,0.0,1.0
265,1688241039.8689917664,0.45229000000000002535,1.0,0.0
266,1694651703.3662915619,2.859586999999999879,1.0,1.0
267,1697757045.8838526779,0.49221100000000006514,0.0,0.0
268,1700070601.6438209555,0.70196700000000000763,0.0,0.0
269,1719667779.5448600535,1.7548999999999999044,3.0,1.0
270,1723504682.2223025754,1.8921499999999999986,0.0,1.0
271,1723815229.0306345549,0.45915699999999998182,0.0,0.0
272,1724019148.2114024523,3.5740800000000003678,3.0,0.0
273,1740163804.0702100962,2.0611739999999998396,0.0,0.0
274,1752579422.4599302585,2.683098000000000205,3.0,1.0
275,1755741857.2514471577,1.7581899999999999196,1.0,1.0
276,1768867892.1117517718,0.5553919999999999968,2.0,0.0
277,1775866778.5033703801,0.6206429999999999447,0.0,0.0
278,1778598376.0470609472,2.9005378589999999406,1.0,1.0
279,1779045507.2492306066,2.1536200000000000898,0.0,1.0
280,1781805753.0895043961,0.5149350000000000316,1.0,0.0
281,1782095567.4339464813,0.6216666700000000878,0.0,0.0
282,1787911444.4419861308,2.2703000000000002068,0.0,1.0
283,1816284087.8954840119,2.3239730000000000665,3.0,1.0
284,1819701580.0567868382,0.8064569999999999794,1.0,0.0
285,1827893117.6319548335,2.270706999999999809,0.0,1.0
286,1842485457.4389080142,2.6129363770000013645,1.0,1.0
287,1852913648.266905966,1.8438920000000003085,0.0,1.0
288,1867113751.7604736722,1.7245663599999998539,1.0,1.0
289,1870638699.2291190729,9.919347935999999422,0.0,1.0
290,1870867166.917944191,0.538891299999999962,3.0,0.0
291,1870867169.8926431226,1.6366239999999998567,2.0,1.0
292,1873601703.0901861435,0.7942709999999999493,0.0,0.0
293,1886773512.2660365121,1.276839999999999975,3.0,0.0
294,1890231459.5365490302,1.1789300000000000335,1.0,0.0
295,1893891524.7541541209,0.4883598100000000053,1.0,0.0
296,1895005410.606213747,4.349463840000000303,0.0,1.0
297,1921703341.7045630284,6.2253300000000004744,0.0,1.0
298,1938503563.183491929,2.1557400000000002116,0.0,1.0
299,1946327966.8922757182,1.9528399999999999093,1.0,1.0
300,1952766598.8450999545,0.99962200000000001054,2.0,0.0
301,1952766601.5094879981,1.9872128899999998985,3.0,1.0
302,1957408551.2354115756,0.74243599999999998484,0.0,0.0
303,1957408551.2531165243,0.8602410000000000334,2.0,0.0
304,1957408553.607105528,1.9397500000000000853,0.0,1.0
305,1962536419.8662775817,1.8865899999999999892,0.0,0.0
306,1979932815.9572076036,4.923610000000000042,1.0,1.0
307,1980216936.7177724357,3.088299999999999823,3.0,1.0
308,1982705941.8475447838,4.6516334999999999766,1.0,1.0
309,1990545136.0590153964,1.9365600000000000591,1.0,0.0
310,1996922455.0081114966,0.6946307999999998817,0.0,0.0
311,1997389396.5214144508,0.49353799999999997672,3.0,0.0
312,1997389399.0547784138,2.4023794000000000537,3.0,1.0
313,2001735274.5352670063,0.48049999999999998268,1.0,0.0
314,2006188318.9339129174,2.2111770000000001701,0.0,0.0
315,2009325366.3821784017,0.4402460000000000262,1.0,0.0
316,2018026503.4844966365,2.008059999999999956,3.0,1.0
317,2023835320.0240797314,0.725543000000000049,0.0,0.0
318,2023962489.699230094,1.8555999999999999162,1.0,1.0
319,2029014671.1606400487,1.1135800000000000143,1.0,0.0
320,2032550601.7214682864,2.5832359600000001087,0.0,1.0
321,2034132416.13611806,1.1890799999999999148,1.0,0.0
322,2034132418.4093250161,2.157010000000000094,1.0,1.0
323,2062750940.0731889321,0.46545100000000000362,1.0,0.0
324,2062750940.0958650154,0.50826700000000002433,3.0,0.0
325,2067239790.7867976485,0.7681310000000000082,0.0,0.0
326,2068878217.459452884,0.95105300000000003724,1.0,0.0
327,2075190135.6015354239,2.4433468000000000409,3.0,1.0
328,2076952396.0695535081,1.4737890000000000157,3.0,0.0
329,2078244633.0432930992,0.444413000000000058,1.0,0.0
330,2079162652.2270330036,0.62784700000000004394,1.0,0.0
331,2079892449.4348320913,0.55422000000000004594,0.0,0.0
332,2082177681.8157893274,1.600159839999999889,1.0,1.0
333,2085929837.8650104055,0.46296399999999998665,0.0,0.0
334,2109128474.8566643259,1.1574659000000000475,1.0,0.0
335,2117331620.8089989488,1.1209909000000000123,0.0,0.0
336,2127496991.0221361858,0.8458758000000000665,2.0,0.0
337,2128772294.2101994228,1.6320624999999999716,1.0,1.0
338,2149510233.590725683,1.6039699999999998958,0.0,0.0
339,2149887492.9311733162,0.52615400000000001057,0.0,0.0
340,2153629929.725985992,1.9294669689999999207,1.0,1.0
341,2164425525.746663137,2.966482999999999759,0.0,1.0
342,2168920377.4933787372,1.2159009999999998985,1.0,0.0
343,2174305105.394243931,0.68782560000000003697,2.0,0.0
344,2183032716.2278875264,0.48906800000000000272,2.0,0.0
345,2185508243.4290085125,1.3911700000000000177,0.0,0.0
346,2191849313.0534488778,0.43578019999999995093,3.0,0.0
347,2194142485.8399480868,1.0088299999999998935,3.0,0.0
349,2198483285.0909987735,1.9689129999999999132,1.0,0.0
348,2198483285.0943107908,0.5212259999999999671,0.0,0.0
350,2199462626.6507539824,0.84591000000000005077,1.0,0.0
351,2210754426.3146232667,0.5971850000000000769,2.0,0.0
352,2218381280.2471116753,0.5009099999999999664,1.0,0.0
353,2219267580.8619628518,2.5171800000000001951,0.0,1.0
354,2241194012.8285166018,0.43364976999999998997,1.0,0.0
355,2245966053.3420091611,1.8727499999999999147,0.0,0.0
356,2249205370.4982937211,3.0923540000000002692,1.0,1.0
357,2255501900.7626091465,2.3743144000000002691,0.0,0.0
358,2259940143.6518977704,2.6543299999999998562,0.0,1.0
359,2271904635.0641920462,1.4913499999999999535,0.0,0.0
