#class tools::wcsv::ntuple
#title Hits
#separator 44
#vector_separator 59
#column double[] Time Gamma
#column double[] Energy Gamma
#column double[] Id Gamma
#column double[] Time Neutron
#column double[] Energy Neutron
#column double[] Id Neutron
1.54301e-10;1.7493e-10,0.00674326;0.0198828,1;1,,,
1.46996e-10;1.53295e-10,0.0932689;0.146962,1;1,,,
2.12436e-10,0.353855,0,,,
1.77345e-10;2.42793e-10,0.136305;0.0187642,1;1,,,
,,,3.14596e-09,0.0853853,2
1.88861e-10,0.118443,2,5.01931e-09,0.150329,0
1.79155e-10;2.68199e-10;2.06545e-10,0.232172;0.0561265;0.0306858,1;1;3,5.95504e-09;8.82299e-09,0.3594;0.0158533,0;0
1.8588e-10;2.02565e-10;2.33381e-10;2.45184e-10,0.124061;0.00467136;0.0434157;0.0293758,0;0;0;0,2.71531e-09;3.91694e-09,1.54739;0.00594143,0;0
1.54118e-10,0.217729,1,,,
,,,3.44312e-09,0.977602,0
1.75851e-10,0.143181,1,,,
1.49793e-10,0.153771,1,2.55847e-09,0.330789,1
,,,3.65561e-09,0.913088,2
2.37447e-10;2.72148e-10;7.76509e-10,0.285502;0.050026;0.0326699,2;2;3,,,
,,,3.46509e-09,0.175357,0
,,,3.58087e-09,0.36594,1
1.88866e-10,0.456987,1,2.00729e-09;2.39897e-09;2.94954e-09,2.0644;1.13372;1.12075,0;0;2
1.90548e-10,0.712209,0,,,
,,,9.83186e-09;1.31588e-08;1.86958e-08,0.0536272;0.0385807;0.0118834,1;1;1
1.67754e-10;1.56855e-10,0.09386;0.162282,0;1,,,
1.56329e-10;1.94645e-10;2.81375e-10,0.0528806;0.0732634;0.169679,0;2;2,,,
,,,3.03457e-09;3.55071e-09,0.0761295;0.385292,0;0
2.05745e-10,0.0119245,0,,,
1.59918e-10;1.7899e-10;1.74689e-10,0.0400257;0.870671;0.935733,0;0;0,,,
1.49082e-10,0.227642,0,,,
,,,2.95475e-09;4.18409e-09;5.70751e-09;7.20154e-09,1.61897;0.929042;0.0811545;0.0111616,3;3;3;3
1.49667e-10;1.48498e-10;2.01036e-10,0.434649;0.122565;0.834889,1;1;3,5.07622e-09;5.81222e-09;1.45155e-09,0.146036;0.318379;5.19193,0;0;0
2.4234e-10;2.63383e-10,0.0708732;0.0413917,3;3,6.02965e-09,0.199201,2
1.8526e-10,0.0193062,0,5.19267e-09,0.538903,2
1.61101e-10;1.70445e-10;1.90041e-10;2.36074e-10,0.0282078;0.415262;0.531725;0.142347,0;0;2;2,,,
1.63514e-10;1.72951e-10;2.30756e-10;7.15319e-10;1.86289e-10;2.37935e-10,0.126326;0.0137507;0.0212224;0.0121834;0.0460047;0.136838,0;0;0;2;3;3,,,
1.57148e-10;2.01767e-10;2.01271e-10,0.173301;0.0786808;0.0169222,0;0;3,,,
1.53959e-10;1.50862e-10,0.0437666;0.182924,1;1,6.7455e-09,0.0636331,2
1.77337e-10;1.87745e-10;2.72569e-10;2.04453e-10;2.54525e-10;2.64147e-10,0.00512895;0.0991001;0.0214687;0.0998004;0.0697094;0.00163143,1;2;2;3;3;3,,,
1.49069e-10;2.4907e-10,0.167847;0.0372486,0;0,,,
,,,2.93102e-09;4.88592e-09;3.05742e-09,0.938325;0.0309035;0.452861,0;0;3
,,,2.31752e-09;3.54883e-09,0.819745;0.754804,0;0
1.57312e-10;1.51608e-10;1.91043e-10;1.95213e-10,0.00800788;0.225881;0.0642275;0.0235171,1;1;2;2,3.05261e-09;7.4474e-09;8.71181e-09;9.09957e-09,0.379119;0.170959;0.071641;0.0690991,1;2;2;2
,,,3.6082e-09;5.47376e-09;6.42018e-09;1.0056e-08;1.29664e-08;1.36101e-08;2.98304e-08;1.17325e-07;2.1843e-09;1.07917e-06;1.09903e-06,1.37995;0.00998009;0.00765008;0.000625829;0.0125338;0.018217;0.000103432;3.58207e-05;1.56056;2.8182e-05;1.87106e-05,0;0;0;0;0;0;0;0;0;1;1
1.95876e-10;2.35479e-10;2.38306e-10,0.953056;0.144484;0.00435518,2;2;3,,,
,,,2.37856e-09;2.80319e-09,0.870648;0.900613,1;1
,,,3.20478e-09,0.386864,0
1.7131e-10,0.0282711,0,3.42007e-09;3.93979e-09,0.720133;0.473004,0;0
1.50016e-10;3.24524e-10;4.21808e-10,0.157727;0.0392882;0.00206934,0;0;0,6.62932e-09;8.07142e-09;9.68502e-09,0.0536275;0.0923174;0.0389077,1;1;1
1.4921e-10,0.179991,0,9.34275e-09,0.0645345,2
1.50717e-10,1.00423,0,2.55546e-09;2.14501e-09;4.84978e-09;6.58444e-09;7.47301e-09;8.08744e-09;1.81716e-08,1.22294;2.07327;0.162857;0.0349726;0.0330138;0.000257955;8.66833e-05,1;1;1;1;1;1;1
,,,3.73519e-09,0.326948,1
,,,2.69085e-09;3.62213e-09;4.96459e-09,1.18739;0.174193;0.0160734,1;1;1
1.59283e-10;5.81815e-10;6.37839e-10;1.9095e-10,0.0550056;0.0538964;0.0451539;0.268663,1;1;1;2,,,
,,,2.54373e-09;3.63834e-09,0.971396;0.197759,1;1
