,Time (ns),Energy(MeV),Detector ID,IsNeutron
0,696.9106112810384,4.1251169999999995,0.0,1.0
1,8256.9994216387,0.622672,3.0,0.0
2,9033.445176532176,4.152340000000001,3.0,1.0
3,10697.157064388459,1.3191249999999999,0.0,0.0
4,11253.476274550341,2.43577,1.0,0.0
5,17546.627315839298,1.441363,2.0,0.0
6,27193.57950554148,1.62957,0.0,0.0
7,47454.61964022754,1.47618,3.0,0.0
8,51786.851002335745,0.7751428,0.0,0.0
9,51786.878210335744,0.7643582,1.0,0.0
10,59655.91350985795,0.56977326,1.0,0.0
11,60942.27002883468,0.4219822,0.0,0.0
12,60944.033116834675,3.0146902,1.0,1.0
13,63397.102037231314,4.2052,3.0,1.0
14,66832.08135104965,0.794062,1.0,0.0
15,84157.65127808963,0.471731,1.0,0.0
16,102549.47575526418,0.456063,0.0,0.0
17,103044.80118906955,1.40588,1.0,0.0
18,104087.0271932771,0.5893768899999999,1.0,0.0
19,105556.66784203831,6.11075,3.0,1.0
20,107471.1966114054,2.5656146,2.0,1.0
21,116660.4400489799,2.4261500000000003,2.0,0.0
22,119641.82530898915,0.51629,1.0,0.0
23,134478.4741736262,1.07647,0.0,0.0
24,139029.00616891947,3.6997027,1.0,1.0
25,139720.44768649398,4.442068,0.0,1.0
26,151052.32957386438,0.8514409999999999,1.0,0.0
27,152767.80338488342,0.6857063,1.0,0.0
28,159040.5486485782,4.47294,1.0,1.0
29,162314.48129899768,2.4736499999999997,1.0,1.0
30,163128.0416287716,0.751928,0.0,0.0
31,163317.90697963213,0.5257092,0.0,0.0
32,164490.85212348486,1.2360186999999998,2.0,0.0
33,167226.38054179633,0.437348,1.0,0.0
34,167365.40774788926,0.44178759999999995,0.0,0.0
35,171805.4462622967,1.84243,1.0,0.0
36,177851.54946916492,2.81277,1.0,0.0
37,194532.14963904762,0.56416,1.0,0.0
38,196890.1607244894,0.40511736,1.0,0.0
39,197490.49675810806,0.45633,1.0,0.0
40,202706.785096461,0.988814,1.0,0.0
41,220329.7625362069,3.30638,1.0,0.0
42,225453.60508432437,1.7603,2.0,0.0
43,239387.8289895563,0.6780930000000001,1.0,0.0
44,240669.5437364707,0.5766290000000001,1.0,0.0
45,264133.05682345096,1.29847,0.0,0.0
46,264267.8302180727,1.648005,0.0,0.0
47,268865.0414541446,2.72944,2.0,0.0
48,273157.5194588058,0.690326,3.0,0.0
49,276988.5022305925,2.4976413,1.0,1.0
50,286551.22465270286,0.983202,0.0,0.0
51,289459.73199557845,0.414216,2.0,0.0
52,293237.4580293398,1.088058,2.0,0.0
53,302409.5275981048,2.581917,0.0,1.0
54,309154.5161565334,0.42904622,0.0,0.0
55,309607.33467020147,0.454656,0.0,0.0
56,309607.38354220154,0.661901,3.0,0.0
57,323555.2046367317,0.541022,2.0,0.0
58,329018.34426528774,0.541902,0.0,0.0
59,330621.76588597434,0.98756,1.0,0.0
60,342376.50437049277,0.497147,0.0,0.0
61,344115.3873996573,0.699354,3.0,0.0
62,346982.3205296752,0.6151949999999999,0.0,0.0
63,379861.74523480615,0.765396,1.0,0.0
64,385181.16177731805,0.6258954999999999,1.0,0.0
65,385711.9825403239,2.16747,0.0,0.0
66,405713.2932447344,1.10578,0.0,0.0
67,405714.40724273445,7.115347999999999,0.0,1.0
68,412160.1964630632,0.608057741,0.0,0.0
69,414199.768874442,4.115163,3.0,1.0
70,418361.065192613,4.619698,1.0,1.0
71,431800.559154935,1.1469688,0.0,0.0
72,439572.58705826005,0.7398159999999999,1.0,0.0
73,441817.0480299627,1.1810159999999998,2.0,0.0
74,444603.9348879899,2.599484,0.0,0.0
75,452684.72547091387,1.1979968,1.0,0.0
76,459712.9898603572,0.590813,3.0,0.0
77,459714.3929103572,2.774602,1.0,1.0
78,462401.8018129254,0.460832,1.0,0.0
79,465436.9128771099,1.0591649,0.0,0.0
80,475055.8098766703,2.85132,1.0,1.0
82,475056.45302294154,0.430174,2.0,0.0
81,475056.9367066703,3.2049007,1.0,1.0
83,489225.5050379057,1.11914,2.0,0.0
84,493452.4398613403,3.49439,1.0,1.0
85,493980.1928630134,1.6614,3.0,0.0
86,510857.19662970846,0.6447052,1.0,0.0
87,511035.35644182423,0.926929,1.0,0.0
88,520444.7573647176,0.617105,2.0,0.0
89,524528.2790072606,2.4965,1.0,1.0
90,537918.3630466559,0.683105,2.0,0.0
91,539962.8571240508,1.2742215000000001,0.0,0.0
92,543452.3513337814,2.8359663,0.0,0.0
93,544641.926931556,0.973293,3.0,0.0
94,544740.3571931188,1.2731101000000002,0.0,0.0
95,551159.2789080872,0.41344610000000004,0.0,0.0
96,555357.1773215035,0.63086,3.0,0.0
97,555838.3027651244,2.8800470000000002,0.0,1.0
98,562141.142556404,0.4327594,0.0,0.0
99,566580.3269510131,0.563278,1.0,0.0
100,566582.2353870131,2.89919,0.0,1.0
101,574494.1273074502,0.480942,1.0,0.0
102,583802.5343113313,4.216677,0.0,1.0
103,589632.7548051736,0.853814,0.0,0.0
104,595576.8770008184,3.2067443,0.0,1.0
105,598991.7588256134,0.70033042,1.0,0.0
106,608471.9952876033,1.2058502,0.0,0.0
107,608472.0328396034,1.0844433,2.0,0.0
108,616374.4832776391,4.30725,0.0,1.0
109,619143.735350381,0.553517,0.0,0.0
110,619806.3241830666,4.089451400000001,3.0,1.0
111,623946.4614301837,0.5286912,0.0,0.0
112,632732.8411015059,0.779485,1.0,0.0
113,639599.272547519,2.1631954999999996,1.0,0.0
114,644037.0759671145,1.548771,0.0,0.0
115,644037.0985761145,4.08849,1.0,0.0
116,653580.3728607257,0.7238129000000001,1.0,0.0
117,653580.4086017257,1.1891133,2.0,0.0
118,656054.8342054297,0.513995,3.0,0.0
119,660394.9248267908,0.52998835,0.0,0.0
120,678243.3609717381,1.50364,0.0,0.0
121,678243.3779477382,0.741619,3.0,0.0
122,682414.5763287994,3.066315,1.0,1.0
123,682663.9663127017,2.4303,1.0,1.0
124,686370.8757191291,1.93766,3.0,0.0
125,692659.2629043481,0.51705,0.0,0.0
126,696467.0318813332,0.507189,2.0,0.0
127,703701.9947253433,2.6358,0.0,1.0
128,706661.6257827113,2.68416,1.0,1.0
129,715126.7232574516,4.92311,0.0,1.0
130,726991.6644105219,0.634133,2.0,0.0
131,737401.2791584258,0.7739513500000001,0.0,0.0
132,739505.0043346698,1.04017,1.0,0.0
133,747720.5386419642,3.26602,0.0,1.0
134,752891.3312941467,4.3115685,1.0,1.0
135,756605.1686599373,1.0289288,0.0,0.0
136,760978.9538516509,1.36991,0.0,0.0
137,761821.028371737,0.463721,0.0,0.0
138,765759.8897073935,7.58489,3.0,1.0
139,772188.9416729012,0.562793,3.0,0.0
140,772914.9811004557,2.496101,3.0,1.0
141,781448.3035226561,3.58882,0.0,1.0
